Epoca;Train_Total_Loss;Train_Img_Loss;Train_Adv_Loss;Val_Total_Loss;Val_Img_Loss;Val_Adv_Loss
25;1.5076270614351546;0.08527701241629464;1.591053945677621;1.1689155250787735;0.06475898716598749;1.4752415418624878
26;1.1150893994740076;0.06191628958497729;1.3825415628296989;0.993558257818222;0.05156000982969999;1.8733121752738953
27;1.2032029628753662;0.06718662806919642;1.4246321320533752;1.073159858584404;0.05594946350902319;1.9774271249771118
28;1.3815150942121233;0.07905614322849683;1.2957423159054346;1.0678120255470276;0.0525102810934186;2.529416710138321
29;1.0854550770350866;0.060219483716147285;1.354925845350538;0.8643574118614197;0.04355361592024565;1.8611062467098236
30;1.2498356189046587;0.06739419219749314;1.9058726344789778;0.9125131517648697;0.04613464791327715;1.9373196363449097
31;1.2454187955175127;0.06918247948799815;1.5388790369033813;0.8581902235746384;0.041661021299660206;2.129043400287628
32;1.4085654871804374;0.07876035411443029;1.6488867402076721;0.9073637574911118;0.04220704082399607;2.5783455669879913
33;1.2803805215018136;0.06733378714748792;2.255999514034816;1.2332686185836792;0.05992279574275017;3.050043284893036
34;1.2831550581114632;0.0693410187959671;1.9299861448151725;0.950878918170929;0.04270954057574272;2.9725140929222107
35;1.121016229901995;0.05935273213045938;1.9041390078408378;0.8318856656551361;0.0419508395716548;1.7852468490600586
36;1.1954981344086784;0.06550205552152225;1.6385026659284319;0.8969064801931381;0.039175775833427906;3.001044899225235
37;1.005848731313433;0.0522165692278317;1.8931513513837541;0.8757329285144806;0.03710975591093302;3.1330758333206177
38;1.0673390626907349;0.05456400077257838;2.1590559482574463;0.8283669799566269;0.03599497443065047;2.8049710392951965
39;1.030625479561942;0.053565923656736104;1.9285630668912614;0.7452887892723083;0.03483611065894365;2.0879000425338745
40;1.077864340373448;0.05757438870412963;1.7408235243388586;0.8760304301977158;0.03456700453534722;3.588426113128662
41;1.0320322258131844;0.05289290951831;2.063840627670288;0.8331259787082672;0.034369966480880976;3.1467390060424805
42;1.0033263223511832;0.05348701562200274;1.6392673594611031;0.8464683592319489;0.03278809040784836;3.576210141181946
43;1.0316628047398158;0.053619147411414554;1.9306271246501379;0.8411111980676651;0.033882686868309975;3.322091042995453
44;1.1125473976135254;0.05808009420122419;2.0362874610083446;0.7846903949975967;0.03382801730185747;2.704912304878235
45;0.9719717161996024;0.047667569879974635;2.325451135635376;0.8228833675384521;0.03162003355100751;3.5218092799186707
46;1.0603246263095312;0.052644365067992895;2.4223864248820712;0.8348930776119232;0.03653974737972021;2.7806345522403717
47;1.1435804963111877;0.05838940292596817;2.326111452920096;0.8671433478593826;0.03285019751638174;3.7948909997940063
48;1.0603149107524328;0.05406597522752626;2.1695477792194913;0.9489912390708923;0.03143587056547403;4.955747485160828
49;1.0846382805279322;0.0562469730419772;2.052074296133859;0.7949211746454239;0.03047763416543603;3.4142112731933594
50;1.026312870638711;0.05080342984625271;2.3717554126467024;0.8284493386745453;0.030759191140532494;3.7366920709609985
51;0.9569801262446812;0.04765075072646141;2.16186785697937;0.6948267817497253;0.029511934611946344;2.4737313091754913
52;0.9900078773498535;0.048285347542592456;2.4160255023411343;0.8789778053760529;0.0319727617315948;4.082373380661011
53;1.0502137286322457;0.0538912160055978;2.088380677359445;0.8019604086875916;0.03156995726749301;3.2982340455055237
54;1.1702058144978114;0.05619777951921735;3.011570385524205;0.792619451880455;0.032181921880692244;3.085651993751526
55;0.9642250452722821;0.048424957054001946;2.1047302314213345;0.8020024001598358;0.03213493712246418;3.1982598304748535
56;0.9841444322041103;0.04881842115095684;2.256107807159424;0.8495451360940933;0.033344637136906385;3.5114545822143555
57;1.0464745334216528;0.05079781264066696;2.5967725855963573;0.7272194772958755;0.031007432378828526;2.5677837133407593
58;1.0773176465715681;0.05195196292230061;2.7342916556767056;0.8258946537971497;0.030424891505390406;3.76773738861084
59;1.1092724885259355;0.05370923025267465;2.776942184993199;0.8467051982879639;0.02882051933556795;4.284187316894531
60;1.1114524943487984;0.0538787522486278;2.771027139254979;0.8009457588195801;0.03052149573341012;3.4733532667160034
