Epoca;Train_Total;Train_Img_mse;Train_Adv_mse;Val_Total;Val_Img_mse;Val_Adv_mse
28;0.02629784680902958;0.02629784680902958;1.653137973376683;0.02377265226095915;0.02377265226095915;1.245910882949829
29;0.02461362550301211;0.02461362550301211;1.6700589316231864;0.023611477110534906;0.023611477110534906;1.2954559177160263
30;0.024780924298933575;0.024780924298933575;1.7176377943583898;0.023354065604507923;0.023354065604507923;1.4605067670345306
31;0.02347316632845572;0.02347316632845572;1.6312038217272078;0.02251824690029025;0.02251824690029025;1.4593736678361893
32;0.02357469286237444;0.02357469286237444;2.119297538484846;0.0225657164119184;0.0225657164119184;1.3978543728590012
33;0.02371629753283092;0.02371629753283092;1.7552419560296195;0.022624068893492222;0.022624068893492222;1.4146881997585297
34;0.023755382214273726;0.023755382214273726;1.8995979513440813;0.022520123049616814;0.022520123049616814;1.5361572206020355
35;0.022774590445416316;0.022774590445416316;1.806310738836016;0.021995299495756626;0.021995299495756626;1.5034777522087097
36;0.022635627537965775;0.022635627537965775;2.1590728419167653;0.021179084666073322;0.021179084666073322;1.485864132642746
37;0.023495303999100412;0.023495303999100412;1.9048045022147042;0.021553941536694765;0.021553941536694765;1.483061894774437
38;0.022903206359062876;0.022903206359062876;1.9020275218146188;0.021600494161248207;0.021600494161248207;1.5068497955799103
39;0.021338468816663538;0.021338468816663538;2.0090653896331787;0.020943723618984222;0.020943723618984222;1.5195330679416656
40;0.026057913899421692;0.026057913899421692;1.8196480657373155;0.0217089238576591;0.0217089238576591;1.466368705034256
41;0.0224033317395619;0.0224033317395619;1.8290019886834281;0.021572893485426903;0.021572893485426903;1.5485394895076752
42;0.023164700450641767;0.023164700450641767;1.9757245949336462;0.021481236908584833;0.021481236908584833;1.5201787054538727
43;0.021360884819711958;0.021360884819711958;1.9723518575940813;0.020764577202498913;0.020764577202498913;1.5499210953712463
44;0.021635998838714192;0.021635998838714192;2.099883028439113;0.020611376501619816;0.020611376501619816;1.5263701230287552
45;0.02047229451792581;0.02047229451792581;2.056536776678903;0.02021756349131465;0.02021756349131465;1.4922906458377838
46;0.021848207339644432;0.021848207339644432;2.083898425102234;0.02019823156297207;0.02019823156297207;1.5893446207046509
47;0.020804612764290402;0.020804612764290402;2.1002247674124583;0.02013978222385049;0.02013978222385049;1.6309939622879028
48;0.021763417337621962;0.021763417337621962;2.1572843619755337;0.020050080493092537;0.020050080493092537;1.801659494638443
49;0.02253369481435844;0.02253369481435844;2.2355497905186246;0.020561940502375364;0.020561940502375364;1.8344418704509735
50;0.020566324038164958;0.020566324038164958;2.164490452834538;0.01942696305923164;0.01942696305923164;1.6935742795467377
51;0.020354640537074635;0.020354640537074635;2.3173826592309132;0.019433236215263605;0.019433236215263605;1.6970166563987732
52;0.021714562284094945;0.021714562284094945;2.233459540775844;0.019996454007923603;0.019996454007923603;1.7806458175182343
53;0.02028124007795538;0.02028124007795538;2.470344305038452;0.019387401873245835;0.019387401873245835;2.0593435764312744
54;0.021939421338694438;0.021939421338694438;2.04089617729187;0.019589605275541544;0.019589605275541544;1.8630031943321228
55;0.019607340384806906;0.019607340384806906;1.9699889591761999;0.01985628856346011;0.01985628856346011;1.8984750509262085
56;0.019298394609774863;0.019298394609774863;2.270900181361607;0.019313308177515864;0.019313308177515864;1.9242097735404968
57;0.019489970058202744;0.019489970058202744;2.6792617525373186;0.018676624167710543;0.018676624167710543;2.469443202018738
58;0.019969919563404152;0.019969919563404152;2.2574317710740224;0.018486126326024532;0.018486126326024532;2.4885305762290955
59;0.020877906121313572;0.020877906121313572;2.523967521531241;0.018947754055261612;0.018947754055261612;2.2440911531448364
60;0.022362772109253064;0.022362772109253064;2.6773381403514316;0.019355537835508585;0.019355537835508585;2.2657566964626312
61;0.019661101113472666;0.019661101113472666;2.420131496020726;0.019043575040996075;0.019043575040996075;2.366045892238617
62;0.018959855128611838;0.018959855128611838;2.8367884499686107;0.018470334354788065;0.018470334354788065;2.7970172464847565
63;0.019870687409171035;0.019870687409171035;2.333026570933206;0.018573206616565585;0.018573206616565585;2.3778276443481445
64;0.02005208656191826;0.02005208656191826;2.8495544706072127;0.019317768048495054;0.019317768048495054;2.455901265144348
65;0.020540422360811914;0.020540422360811914;2.8239352703094482;0.01891055516898632;0.01891055516898632;2.4567587077617645
66;0.021878595064793314;0.021878595064793314;2.833817822592599;0.019208161160349846;0.019208161160349846;2.7088934183120728
67;0.01875639148056507;0.01875639148056507;2.7655462537493025;0.018454786390066147;0.018454786390066147;2.6303986608982086
68;0.018703464418649673;0.018703464418649673;3.221111978803362;0.01803885749541223;0.01803885749541223;3.3139100670814514
69;0.020073862746357918;0.020073862746357918;3.3921381746019637;0.018544682301580906;0.018544682301580906;3.0231699347496033
70;0.02009112880166088;0.02009112880166088;2.893316149711609;0.018820136785507202;0.018820136785507202;2.819873094558716
71;0.018226146697998047;0.018226146697998047;3.179506233760289;0.01837608334608376;0.01837608334608376;2.9696611762046814
72;0.018444286260221685;0.018444286260221685;3.7781144039971486;0.017957459669560194;0.017957459669560194;4.043713748455048
73;0.017613608922277178;0.017613608922277178;3.4115262712751115;0.017922491300851107;0.017922491300851107;3.0522677898406982
74;0.018198204625930105;0.018198204625930105;3.276393549782889;0.017502382630482316;0.017502382630482316;3.482022285461426
75;0.018386019127709523;0.018386019127709523;3.050919669015067;0.017439660849049687;0.017439660849049687;4.095648646354675
76;0.017929986784500734;0.017929986784500734;3.4920647144317627;0.017398972529917955;0.017398972529917955;4.13471257686615
77;0.01732901284205062;0.01732901284205062;3.465383048568453;0.017182318726554513;0.017182318726554513;4.2676060795784
78;0.018245735338756015;0.018245735338756015;3.3830065727233887;0.01718562701717019;0.01718562701717019;4.695464313030243
79;0.01723036582448653;0.01723036582448653;3.971279961722238;0.0167624126188457;0.0167624126188457;5.0533024072647095
80;0.01837563967066152;0.01837563967066152;3.455669471195766;0.015834927326068282;0.015834927326068282;4.533347189426422
81;0.017934201817427362;0.017934201817427362;3.6120297568184987;0.016399358864873648;0.016399358864873648;4.037012815475464
82;0.017097736974912032;0.017097736974912032;3.5678999423980713;0.016271071508526802;0.016271071508526802;3.491119146347046
83;0.01652495070759739;0.01652495070759739;3.9786292144230435;0.016045866068452597;0.016045866068452597;4.969118714332581
84;0.016990680513637408;0.016990680513637408;3.838046142033168;0.016337176552042365;0.016337176552042365;5.174100995063782
85;0.01899907019521509;0.01899907019521509;3.7869750261306763;0.01727395597845316;0.01727395597845316;3.620831251144409
86;0.0171096943584936;0.0171096943584936;4.097019331795829;0.01693391939625144;0.01693391939625144;4.5360389947891235
87;0.016907248379928724;0.016907248379928724;4.014080286026001;0.01674763415940106;0.01674763415940106;4.92551201581955
88;0.01709066331386566;0.01709066331386566;4.051267334393093;0.01638848055154085;0.01638848055154085;4.890261113643646
89;0.01865232190383332;0.01865232190383332;4.314834322248187;0.016807941487058997;0.016807941487058997;5.1241636872291565
90;0.016576656539525305;0.016576656539525305;4.004328216825213;0.0163392280228436;0.0163392280228436;4.995487034320831
91;0.020934898539313247;0.020934898539313247;4.238720553261893;0.01685008592903614;0.01685008592903614;5.330955505371094
92;0.016871329929147447;0.016871329929147447;4.457181998661587;0.0166929189581424;0.0166929189581424;5.068879723548889
93;0.016322750199053968;0.016322750199053968;4.15503065926688;0.01636197417974472;0.01636197417974472;5.356138169765472
94;0.01660063929323639;0.01660063929323639;5.262721708842686;0.016068600118160248;0.016068600118160248;4.987871944904327
95;0.016927993590278283;0.016927993590278283;4.24316622529711;0.015793015249073505;0.015793015249073505;3.9414151906967163
96;0.016463741793164184;0.016463741793164184;5.030868189675467;0.015867515234276652;0.015867515234276652;4.123464822769165
97;0.01957200201494353;0.01957200201494353;4.032408646174839;0.016546600498259068;0.016546600498259068;4.103308975696564
98;0.0163955045863986;0.0163955045863986;3.6285464337893893;0.015991497552022338;0.015991497552022338;4.912854552268982
99;0.015966523172599927;0.015966523172599927;4.52387125151498;0.015933359740301967;0.015933359740301967;4.764931321144104
100;0.01609860932720559;0.01609860932720559;4.436623198645456;0.015909283654764295;0.015909283654764295;4.839957177639008
101;0.015415297288979803;0.015415297288979803;4.21301531791687;0.01572813675738871;0.01572813675738871;4.970226287841797
102;0.017735621093639305;0.017735621093639305;4.22711409841265;0.016038091853260994;0.016038091853260994;4.817550182342529
