Epoca;Train_Total;Train_Img_L1;Train_Adv_L1;Val_Total;Val_Img_L1;Val_Adv_L1
66;7.093899278079762;0.09978708581012838;6.096028412089629;7.634705331590441;0.09532127777735393;6.681492646535237
67;7.070362876443302;0.10162519137648975;6.054110975826488;7.675459490882026;0.09548954748445088;6.7205639945136175
68;7.057255380293903;0.10188814340268865;6.038373947143555;7.561403804355198;0.0942239769630962;6.619164043002659
69;7.060603169833913;0.10266868156545303;6.033916361191693;7.60373592376709;0.09544660233789021;6.649269845750597
70;7.070180107565487;0.10037310947390164;6.066448997048771;7.681556595696343;0.09437478333711624;6.7378088103400335
71;7.13043280208812;0.10192399734959882;6.111192843493293;7.679086579216851;0.09428739464945263;6.736212624443902
72;7.20452008527868;0.10249725203303729;6.17954756231869;7.61512639787462;0.09562457352876663;6.658880710601807
73;7.0960682981154495;0.10220446437597275;6.07402369555305;7.591918203565809;0.09559284481737348;6.635989824930827
74;7.097557937397676;0.10038566939971026;6.093701194314396;7.63847001393636;0.095517345600658;6.683296574486627
75;7.121297611909754;0.10148939271183575;6.106403687421014;7.647125191158718;0.09432084858417511;6.70391665564643
76;7.130893595078412;0.10169203535598867;6.113973280962775;7.6127208603752985;0.09427316983540852;6.6699891620212135
77;7.123475719900692;0.1010522426051252;6.112953354330624;7.643426524268256;0.09439277731710011;6.699498653411865
78;7.109527812284582;0.09988211708910325;6.110706609838149;7.635810905032688;0.09563628004656897;6.679448074764675
79;7.080678014194264;0.1005914618863779;6.074763382182402;7.694079558054606;0.09539452526304457;6.740134292178684
80;7.08310671413646;0.09992633409359876;6.083843399496639;7.688309881422255;0.09393741852707332;6.7489357524447975
81;7.058751583099365;0.1006164699792862;6.052586864022648;7.7156016031901045;0.09354601303736369;6.780141512552897
82;7.098090648651123;0.10038343071937561;6.094256373012767;7.627995544009739;0.0941409236854977;6.686586380004883
83;7.088305641623104;0.09993023819783155;6.089003254385555;7.666044182247585;0.09349176122082604;6.731126626332601
84;7.0482432702008415;0.100913446615724;6.03910883735208;7.614582167731391;0.0937444128923946;6.677138063642714
85;7.072675396414364;0.10045364236130434;6.068138992085176;7.6514895757039385;0.09441183590226704;6.707371181911892
86;7.1217630891238946;0.09997271264300626;6.122035896076875;7.615031931135389;0.0949931111600664;6.665100733439128
87;7.164580401252298;0.10228414351449293;6.1417388916015625;7.6704433229234485;0.09644143200582928;6.706028991275364
88;7.106056521920597;0.10064220603774576;6.099634451024673;7.705078125;0.09400322453843223;6.765046013726129
89;7.1509599685668945;0.10045867763897952;6.146373131695916;7.655015256669786;0.09450122217337291;6.710003005133735
90;7.1295159564298745;0.10150766547988443;6.114439319161808;7.659814569685194;0.0956009104847908;6.703805446624756
91;7.068160898545209;0.1011961545137798;6.0561994103824395;7.687706046634251;0.0942248006661733;6.745458020104302
92;7.122650483075311;0.09941904159153209;6.1284600706661445;7.710662258995904;0.09373744080464046;6.773287826114231
93;7.135915980619543;0.09936915031250786;6.142224508173325;7.675962501102024;0.09348711454206043;6.741091410319011
94;7.112016509560978;0.09916455167181351;6.120371033163631;7.6721385849846735;0.09386568930413988;6.733481725056966
95;7.130520287682028;0.09931508320219376;6.137369436376235;7.6694051954481335;0.09359148972564274;6.73349036110772
